id,capacidade,escrevaral_legado,mass_notes,status,fonte_legado,fonte_mass_notes,bloqueia_beta_online,bloqueia_substituicao,decisao
P01,"Editor estrutural","Editor artesanal com folha paginada, modos e guias.","Tiptap/ProseMirror com JSON estrutural e paginação visual sem fragmentar o documento.",superior,"README.md; docs/release/RELEASE_NOTES_1.0.0.md","mass-notes-next/README.md; mass-notes-next/src/editor/MassNotesEditor.tsx; tests/m1-pagination-scroll.spec.ts",não,não,"Preservar a fundação nova; modos e guias são avaliados separadamente."
P02,"Persistência, autosave e recuperação","Armazenamento local, cópia de segurança e recarga offline.","IndexedDB, autosave, envelope emergencial, revisões e recuperação.",superior,"README.md; ARCHITECTURE.md","mass-notes-next/src/App.tsx; mass-notes-next/src/storage/documentRepository.ts; tests/gate2.spec.ts",não,não,"Manter contratos de revisão e recuperação."
P03,"Conflitos entre abas","Preservação local com contrato de não destruição; reconciliação menos explícita.","BroadcastChannel, detecção de revisão e cópia explícita do conflito.",superior,"ARCHITECTURE.md","mass-notes-next/src/App.tsx; tests/foundation.spec.ts; tests/m0-9-integrated.spec.ts",não,não,"Usar a arquitetura nova como baseline."
P04,"Biblioteca e metadados","Acervo local com organização de manuscritos.","Busca, estado, tags, favoritos, ordenação e metadados na mesma revisão.",superior,"README.md; index.html","mass-notes-next/src/components/Library.tsx; tests/gate11-library.spec.ts; tests/gate12-metadata.spec.ts",não,não,"Preservar projeções puras e metadados atômicos."
P05,"Importação e cópia nativa","Formato .esc e cópia de segurança exportável.","Importação legada integralmente validada e cópia nativa versionada sem substituição silenciosa.",superior,"docs/release/RELEASE_NOTES_1.0.0.md","mass-notes-next/README.md; tests/gate13-legacy-import.spec.ts; tests/gate9b-native-backup.spec.ts",não,não,"Manter restauração nativa distinta da importação legada."
P06,"Revisão geral","Análise geral com CLIQUES_PT e PLEONASMOS como baseline quantitativa.","Revisão local, trechos localizados, navegação e decorations sem mutar o texto.",presente,"META_ENGINES_100.md; grammar-controller.js","mass-notes-next/src/components/RightRail.tsx; tests/gate7-review-decorations.spec.ts",não,condicional,"Comparar qualidade em E3; não alegar superioridade por contagem."
P07,"Espelho de Voz","Dez gestos e nove campos semânticos declarados.","Leitura local com confiança, métricas, forças, pontos de observação, exercícios e ressalvas.",presente,"README.md; META_ENGINES_100.md","mass-notes-next/src/components/RightRail.tsx; tests/gate3-voice.spec.ts",não,condicional,"Submeter a corpus humano e comparação lado a lado em E3."
P08,"RimaLab","Enciclopédia 50 e grammarWords 348 declarados.","Prosa e poesia, esquema, escansão, pares, estrofes e estados neutros sobre snapshot vivo.",presente,"README.md; META_ENGINES_100.md; rimalab-engine.js","mass-notes-next/src/components/RimaLabPanel.tsx; tests/gate5-rimalab.spec.ts",não,condicional,"Validar precisão e utilidade editorial em E3."
P09,"Palavras, léxico e polissemia","Aproximadamente 1.350 sinônimos, 1.020+ definições e 110+ casos de polissemia declarados.","1.343 sinônimos, 936 definições efetivas e 175 regras; há 68 conflitos editoriais e outras dívidas de integridade.",parcial,"README.md; META_ENGINES_100.md; lexical-engine.js; synonym-data.js","mass-notes-next/docs/audits/M1_E2_LEXICAL_INVENTORY.md; mass-notes-next/src/components/LexicalPanel.tsx",condicional,sim,"Resolver integridade antes de expansão; beta só pode prometer Palavras com limites explícitos."
P10,"Contexto e Vocabulário Decolonizador","Superfície própria com 600+ entradas em nove categorias.","606 entradas são consumidas pela aba Contexto, mas a equivalência de experiência e cobertura ainda não foi demonstrada.",parcial,"README.md; META_ENGINES_100.md; decolonial-engine.js","mass-notes-next/src/components/ContextPanel.tsx; tests/gate4.spec.ts",não,sim,"Comparar categorias, explicações e fluxos; portar ou aposentar a superfície antiga conscientemente."
P11,"Morfologia verbal","Bancada 17/17, golden 91/0 e 2.045 formas regulares no presente como baseline histórica.","Engine tipada, 34 casos de desenvolvimento e 24 adversariais; infinitivo pessoal verificado, demais famílias parciais ou pendentes.",parcial,"META_ENGINES_100.md; grammar-controller.js; syntax-engine.js","mass-notes-next/docs/linguistics/verb-provenance.json; tests/m1-verb-morphology.spec.ts",não,sim,"Fundamentar e avaliar irregulares, clíticos, compostos, homógrafos, defectivos e particípios duplos."
P12,"Sintaxe e estrutura oracional","Painel sintático e funções como sujeito, predicado e objeto faziam parte da promessa em evolução.","Há contexto local e morfologia, mas não existe parser oracional amplo nem superfície sintática autônoma.",ausente,"META_ENGINES_100.md; syntax-engine.js; syntax-controller.js","mass-notes-next/docs/personas/EVA_CHARA_SCORECARD.md",não,sim,"Abrir Sintaxe v1 somente após a paridade e com corpus separado desde a primeira regra."
P13,"Modos de escrita e guias de ofício","Editor com modos de escrita e guias de ofício.","Modo concentração existe; não há equivalência documentada dos modos e guias editoriais antigos.",parcial,"README.md; docs/release/RELEASE_NOTES_1.0.0.md","mass-notes-next/src/components/RightRail.tsx; mass-notes-next/README.md",não,sim,"Inventariar cada guia; portar os úteis e aposentar os decorativos ou redundantes."
P14,"Prova de Autoria","Assinatura e marca temporal locais como recurso principal.","Não implementada na nova fundação.",ausente,"README.md; rights-engine.js; workshop-authorship-clarity-controller.js","mass-notes-next/README.md",não,sim,"Portar com contrato verificável ou aprovar aposentadoria formal antes da substituição."
P15,"Exportação do documento","TXT, Markdown, HTML, DOCX, ePub, RTF e Obsidian; escopo múltiplo nos formatos finais.","TXT, Markdown e HTML do documento vivo, mais cópia nativa da biblioteca.",parcial,"META_ENGINES_100.md; docs/release/RELEASE_NOTES_1.0.0.md","mass-notes-next/src/components/ExportPanel.tsx; tests/gate9-export.spec.ts",não,sim,"Decidir por uso quais formatos retornam; não portar por contagem."
P16,"Exportação em escopo múltiplo","Seleção de vários manuscritos para formatos derivados.","A exportação editorial é da página ativa; a cópia nativa inclui a biblioteca.",ausente,"META_ENGINES_100.md; export-engine.js","mass-notes-next/src/components/ExportPanel.tsx; tests/gate9b-native-backup.spec.ts",não,condicional,"Definir se seleção múltipla é requisito editorial ou se a cópia nativa resolve continuidade."
P17,"PWA, instalação e recarga offline","Aplicação instalável com service worker e recarga offline após a primeira visita.","Preview online sem PWA própria aprovada.",ausente,"README.md; service-worker.js; manifest.webmanifest; docs/release/RELEASE_NOTES_1.0.0.md","mass-notes-next/README.md",sim para promessa offline,sim,"Pode haver beta online com escopo explícito; substituição exige PWA ou aposentadoria pública impossível de ocultar."
P18,"Anatomia do Livro","Página editorial integrada ao ecossistema.","Integrada e testada, mas ainda depende de page-flip@2.0.7 do unpkg.",parcial,"README.md; anatomia-do-livro.html","mass-notes-next/README.md; tests/gate8-anatomy-transition.spec.ts",não,sim para offline,"Localizar a dependência ou retirar a promessa de autonomia offline da Anatomia."
P19,"Ateliê, Prática e Leituras","Superfícies próprias da oficina antiga.","Não há equivalentes documentados no Mass Notes atual.",ausente,"index.html; docs/_decisoes/MAPEAMENTO_DESIGN_SYSTEM_FASE_3_2026-07-26.md","mass-notes-next/src/components/RightRail.tsx; mass-notes-next/README.md",não,condicional,"Avaliar valor real por tarefa; portar, incorporar a outras superfícies ou aposentar explicitamente."
P20,"Mobile, drawers e rolagem","Compatibilidade com teclado, mouse e toque; overflow mobile protegido por gates.","Drawers, foco reversível, rolagem independente e matriz em múltiplos viewports.",presente,"README.md; css/08-responsive.css","tests/gate2.spec.ts; tests/m0-9-nonfunctional.spec.ts; tests/m1-usability-right-rail.spec.ts",não,não,"Manter; falta validar em dispositivos físicos."
P21,"Leitor de tela, zoom e tecnologias assistivas","Gates de foco e acessibilidade, com limites de validação real.","Automação de foco e layout equivalente a zoom; leitor de tela, zoom real de 200% e hardware físico não aprovados.",parcial,"scripts/auditor-focus-a11y.py; README.md","mass-notes-next/README.md; tests/m0-9-nonfunctional.spec.ts",condicional,condicional,"Realizar QA humano antes de promessa pública ampla de acessibilidade."
P22,"Privacidade e decisão autoral","Texto local, sem IA remota, conta ou servidor obrigatório.","Engines locais, snapshot preservado, nenhuma substituição automática e testes de rede.",superior,"README.md; ARCHITECTURE.md; privacidade.html","mass-notes-next/README.md; tests/m0-9-integrated.spec.ts; tests/m0-9-nonfunctional.spec.ts",não,não,"Manter como contrato não negociável."
P23,"Identidade visual e tema","Argila/Alvorada/Vereda e sistema editorial antigo.","Blueprint com verniz Escrevaral, papel/noite e geometria protegida por testes.",presente,"css/00-tokens.css; css/15-brand-argila.css","mass-notes-next/src/styles/theme-escrevaral-verniz.css; tests/gate6-75-blueprint.spec.ts; tests/gate6-76-escrevaral-verniz.spec.ts",não,não,"Não misturar estabilização visual com evolução linguística."
